Order_ID,Date,Product,Category,Region,Quantity,Unit_Price
1001,2026-08-01,Laptop,Electronics,North,2,55000
1002,2026-08-02,Mouse,Accessories,South,5,800
1003,2026-08-03,Keyboard,Accessories,East,3,1500
1004,2026-08-04,Monitor,Electronics,West,2,12000
1005,2026-08-05,Laptop,Electronics,South,1,55000
1006,2026-08-06,Headphones,Accessories,North,4,2500
1007,2026-08-07,Printer,Electronics,East,2,15000
1008,2026-08-08,Mouse,Accessories,West,6,800
1009,2026-08-09,Keyboard,Accessories,South,4,1500
1010,2026-08-10,Monitor,Electronics,North,3,12000
1011,2026-08-11,Laptop,Electronics,East,2,55000
1012,2026-08-12,Headphones,Accessories,West,5,2500
1013,2026-08-13,Printer,Electronics,South,1,15000
1014,2026-08-14,Mouse,Accessories,North,8,800
1015,2026-08-15,Keyboard,Accessories,East,5,1500
1016,2026-08-16,Monitor,Electronics,West,2,12000
1017,2026-08-17,Laptop,Electronics,North,1,55000
1018,2026-08-18,Headphones,Accessories,South,3,2500
1019,2026-08-19,Printer,Electronics,West,2,15000
1020,2026-08-20,Mouse,Accessories,East,7,800
